profile,setting_label,seed,axis_key,axis_label,level,level_label,value_text,motion_speed_p90_mm_s,baseline_auc_main_vs_bg,baseline_auc_main_vs_nuisance,baseline_fpr_nuisance_match_0p5,baseline_tpr_main_1e-03,default_auc_main_vs_bg,default_auc_main_vs_nuisance,default_fpr_nuisance_match_0p5,default_tpr_main_1e-03
ClinMobile-Pf-v2,Mobile,127,bulk_motion,Bulk tissue motion,reference,Reference,1.00x bulk motion / phase nuisance,193.23717505510186,0.6364448051948052,0.35,0.6363636363636364,0.0,0.45162337662337665,0.4075757575757576,0.6060606060606061,0.0
ClinMobile-Pf-v2,Mobile,128,bulk_motion,Bulk tissue motion,reference,Reference,1.00x bulk motion / phase nuisance,291.50782163831184,0.7784090909090909,0.4106060606060606,0.696969696969697,0.0,0.48920454545454545,0.4893939393939394,0.42424242424242425,0.0
ClinMobile-Pf-v2,Mobile,127,bulk_motion,Bulk tissue motion,moderate,Moderate,1.75x bulk motion / phase nuisance,338.15250425287826,0.7549512987012987,0.6,0.2727272727272727,0.0,0.46846590909090907,0.4621212121212121,0.6060606060606061,0.0
ClinMobile-Pf-v2,Mobile,128,bulk_motion,Bulk tissue motion,moderate,Moderate,1.75x bulk motion / phase nuisance,510.17889422242007,0.8396915584415584,0.5909090909090909,0.3939393939393939,0.0,0.4655032467532468,0.49696969696969695,0.5757575757575758,0.0
ClinMobile-Pf-v2,Mobile,127,bulk_motion,Bulk tissue motion,hard,Hard,2.75x bulk motion / phase nuisance,531.3729676148698,0.7540584415584416,0.5712121212121212,0.42424242424242425,0.0,0.5362824675324676,0.5265151515151515,0.42424242424242425,0.0
ClinMobile-Pf-v2,Mobile,128,bulk_motion,Bulk tissue motion,hard,Hard,2.75x bulk motion / phase nuisance,801.7403443848151,0.7530844155844156,0.5515151515151515,0.45454545454545453,0.0,0.506534090909091,0.5818181818181818,0.42424242424242425,0.05
ClinMobile-Pf-v2,Mobile,127,nuisance_reflectivity,Nuisance reflectivity,reference,Reference,+0.0 dB nuisance reflectivity,193.23717505510186,0.6364448051948052,0.35,0.6363636363636364,0.0,0.45162337662337665,0.4075757575757576,0.6060606060606061,0.0
ClinMobile-Pf-v2,Mobile,128,nuisance_reflectivity,Nuisance reflectivity,reference,Reference,+0.0 dB nuisance reflectivity,291.50782163831184,0.7784090909090909,0.4106060606060606,0.696969696969697,0.0,0.48920454545454545,0.4893939393939394,0.42424242424242425,0.0
ClinMobile-Pf-v2,Mobile,127,nuisance_reflectivity,Nuisance reflectivity,moderate,Moderate,+6.0 dB nuisance reflectivity,193.23717505510186,0.6155032467532467,0.4287878787878788,0.45454545454545453,0.0,0.5229707792207792,0.43333333333333335,0.5454545454545454,0.0
ClinMobile-Pf-v2,Mobile,128,nuisance_reflectivity,Nuisance reflectivity,moderate,Moderate,+6.0 dB nuisance reflectivity,291.50782163831184,0.7731331168831169,0.5409090909090909,0.48484848484848486,0.0,0.5293019480519481,0.5257575757575758,0.3333333333333333,0.0
ClinMobile-Pf-v2,Mobile,127,nuisance_reflectivity,Nuisance reflectivity,hard,Hard,+12.0 dB nuisance reflectivity,193.23717505510186,0.6198863636363636,0.49242424242424243,0.36363636363636365,0.0,0.5703733766233766,0.5196969696969697,0.48484848484848486,0.0
ClinMobile-Pf-v2,Mobile,128,nuisance_reflectivity,Nuisance reflectivity,hard,Hard,+12.0 dB nuisance reflectivity,291.50782163831184,0.7701298701298701,0.5863636363636363,0.48484848484848486,0.0,0.5744318181818182,0.5409090909090909,0.3939393939393939,0.0
